"q","YER","HICP","URX"
"2004Q4",2611612.2,83.4933333333333,9.53269099703584
"2005Q1",2618794.3,83.5766666666667,9.45729599135692
"2005Q2",2635001.3,84.6,9.48819256158139
"2005Q3",2654664.3,84.91,9.32924178185117
"2005Q4",2673261.1,85.4633333333333,9.23751791461611
"2006Q1",2698512.7,85.5433333333333,9.02664433251844
"2006Q2",2728242.6,86.7066666666667,8.74532215891555
"2006Q3",2743229.8,86.7766666666667,8.48248832506268
"2006Q4",2775340.2,87.0066666666667,8.28204847252446
"2007Q1",2794835.2,87.17,8.01819752155362
"2007Q2",2813714.5,88.3666666666667,7.76578328346923
"2007Q3",2824653,88.44,7.69328477644172
"2007Q4",2839158.8,89.57,7.56168917538421
"2008Q1",2857507.5,90.1566666666667,7.53474470198046
"2008Q2",2843714.9,91.6533333333333,7.64210033569445
"2008Q3",2828380.1,91.92,7.8110151285587
"2008Q4",2779901.4,91.6866666666667,8.31090410269974
"2009Q1",2694584.7,91.09,9.3
"2009Q2",2694665.1,91.8533333333333,9.7
"2009Q3",2704360.4,91.5966666666666,10
"2009Q4",2716003.1,92.08,10.1
"2010Q1",2726724.2,92.0933333333333,10.3
"2010Q2",2752187.3,93.3133333333333,10.3
"2010Q3",2764427.4,93.17,10.3
"2010Q4",2780871.5,93.9466666666667,10.2
"2011Q1",2807187,94.3733333333333,10.1
"2011Q2",2807075.7,95.8833333333333,10.2
"2011Q3",2807571,95.69,10.5
"2011Q4",2799079,96.7066666666667,10.9
"2012Q1",2792399,96.9066666666667,11.3
"2012Q2",2782348.2,98.25,11.5
"2012Q3",2778695.1,98.13,11.7
"2012Q4",2766723,98.9433333333333,12
"2013Q1",2757603.1,98.7166666666667,12.3
"2013Q2",2775568.9,99.63,12.2
"2013Q3",2783805.3,99.45,12.2
"2013Q4",2789596.7,99.7466666666667,12
"2014Q1",2802614.9,99.35,12
"2014Q2",2809239.5,100.19,11.6
"2014Q3",2822887.3,99.8,11.6
"2014Q4",2833552.3,99.9066666666667,11.5
"2015Q1",2854969,99.03,11.3
"2015Q2",2867055.5,100.62,11.1
"2015Q3",2879475.3,100.186666666667,10.7
"2015Q4",2893632.7,100.163333333333,10.5
"2016Q1",2907537.2,99.0766666666667,10.3
"2016Q2",2913187.9,100.503333333333,10.1
"2016Q3",2927213.3,100.443333333333,9.9
"2016Q4",2949677.5,100.886666666667,9.7
"2017Q1",2973536.7,100.796666666667,9.4
"2017Q2",2993230.4,102.033333333333,9.1
"2017Q3",3015165.3,101.93,8.9
"2017Q4",3039688.4,102.316666666667,8.7
"2018Q1",3041011.3,102.073333333333,8.5
"2018Q2",3056604.8,103.786666666667,8.2
"2018Q3",3058981.8,104.086666666667,8
"2018Q4",3075500.2,104.266666666667,7.8
"2019Q1",3098151.6,103.526666666667,7.7
"2019Q2",3109229.9,105.24,7.5
"2019Q3",3114969.5,105.08,7.4
"2019Q4",3111755.7,105.313333333333,7.4
"2020Q1",3011266.5,104.68,7.2
"2020Q2",2677318.8,105.473333333333,8.1
"2020Q3",2985151.1,105.043333333333,8.5
"2020Q4",2996039.2,105.02,8.2
"2021Q1",3020593.8,105.786666666667,8.2
"2021Q2",3085731.6,107.403333333333,7.9
"2021Q3",3139956.5,108.016666666667,7.4
"2021Q4",3165357.5,109.883333333333,7
"2022Q1",3188972.9,112.29,6.8
"2022Q2",3218340.3,116.066666666667,6.7
"2022Q3",3232997.2,118.1,6.7
"2022Q4",3231257.2,120.843333333333,6.7
"2023Q1",3230598.4,121.293333333333,6.5
"2023Q2",3236525.6,123.26,6.5
"2023Q3",3236537.9,123.95,6.6
"2023Q4",3239098.6,124.156666666667,6.5
"2024Q1",3248522.2,124.44,6.4
"2024Q2",3255251.4,126.32,6.4
"2024Q3",3269767.3,126.633333333333,6.2
"2024Q4",3282520.5,126.92,6.2
"2025Q1",3301967.7,127.35,6.4
"2025Q2",3306806.3,128.863333333333,6.3
"2025Q3",3316804.4,129.296666666667,6.3
"2025Q4",3323424.9,129.543333333333,6.2
